7zip 25.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2025.10.01-1
npm 11.6.2-1
npth 1.8-1
nspr 4.37-1
nss 3.117-1
nss-mdns 0.15.1-2
nvidia-open-dkms 580.95.05-1
nvidia-utils 580.95.05-1
nwg-displays 0.3.26-1
obs-studio 32.0.1-2
obsidian 1.9.14-1
ocl-icd 2.3.3-1
oh-my-zsh-git r7623.99017b8ea-1
ollama 0.12.6-2
ollama-cuda 0.12.6-2
omarchy-chromium 141.0.7390.122-6
omarchy-nvim 2025.10.14.20251024.060148-1
oniguruma 6.9.10-1
openal 1.24.3-2
opencl-nvidia 580.95.05-1
opencore-amr 0.1.6-2
openh264 2.6.0-1
openjpeg2 2.5.4-1
openrgb 1.0rc2-4
openssh 10.2p1-1
openssl 3.6.0-1
opentimelineio 0.17.0-3
opus 1.5.2-1
orc 0.4.41-1
osinfo-db 20250606-1
ostree 2025.6-1
p11-kit 0.25.10-2
pacman 7.0.0.r6.gc685ae6-6
pacman-mirrorlist 20251021-1
pahole 1:1.30-2
pam 1.7.1-1
pambase 20250719-1
pamixer 1.6-3
pango 1:1.57.0-2
pangomm 2.46.4-1
parted 3.6-2
patch 2.8-1
pciutils 3.14.0-1
pcre2 10.47-1
pcsclite 2.4.0-3
perl 5.42.0-1
perl-error 0.17030-2
perl-mailtools 2.22-2
perl-timedate 2.33-8
pinentry 1.3.2-2
pinta 3.0.4-1
pipewire 1:1.4.9-1
pipewire-alsa 1:1.4.9-1
pipewire-audio 1:1.4.9-1
pipewire-jack 1:1.4.9-1
pipewire-pulse 1:1.4.9-1
pixman 0.46.4-1
pkgconf 2.5.1-1
playerctl 2.4.1-4
plocate 1.1.23-1
plymouth 24.004.60-11
polkit 126-2
polkit-gnome 0.105-11
polkit-qt6 0.200.0-1
poppler 25.10.0-1
poppler-data 0.4.12-2
poppler-glib 25.10.0-1
poppler-qt6 25.10.0-1
popt 1.19-2
portaudio 1:19.7.0-3
postgresql-libs 17.6-2
power-profiles-daemon 0.30-1
ppp 2.5.2-1
pps-tools 1.0.3-2
procps-ng 4.0.5-3
protobuf 32.1-1
psmisc 23.7-1
pugixml 1.15-2
pulseaudio-qt 1.7.0-1
purpose 6.19.0-1
pyenv 1:2.6.11-1
python 3.13.7-1
python-aaf2 1.7.1-3
python-beautifulsoup4 4.14.2-1
python-cairo 1.28.0-1
python-certifi 2025.10.05-1
python-charset-normalizer 3.4.4-1
python-colorama 0.4.6-5
python-dbus 1.4.0-1
python-distro 1.9.0-3
python-evdev 1.9.2-1
